CODMUN_INS;PAE_DIAI;PAE_MESI;PAE_ANOI;PAE_DIAN;PAE_MESN;PAE_ANON;PAE_LNAC;PAE_ASSN;PAE_MULT;PAE_MATU;PAE_NORM;PAE_ANOM;NACIONALIDAD_M;CODMUN_MADRE;PAE_PRES;N_HIJ;NHIJOS;PAE_ECIV1;PAE_ECIV2;PAE_ANOC;PAE_PHECHO;PAE_ANOP;NACIONALIDAD_P;CODMUN_PADRE;PAE_PRESP;PAE_SEXO;PAE_NAVM;PAE_INTGEM;PAE_INTGEA;ORDNA;PAE_EDADM1;PAE_EDAMA2;PAE_EDAMA4;PAE_PROMA1;PAE_DURMAT;PAE_EDAPA2;PAE_EDAPA4;PAE_PROPA1;PAE_PESO
48020;18;11;2013;13;11;2013;2;1;1;1;1;1978;2;48020;48;2;2;2;;;2;;2;00000;;1;1;79;6;2;;35;1;4;;;1;;3400
48020;29;11;2013;1;11;2013;2;1;1;1;2;1987;2;48020;48;1;1;2;;;2;;2;00000;;1;1;;;1;;25;2;5;;;1;;3600
48020;3;12;2013;30;11;2013;2;1;1;2;1;1992;1;48020;48;1;1;2;;;2;;2;00000;;6;1;;;1;;20;2;4;;;1;;2770
20069;8;11;2013;1;11;2013;2;1;1;1;1;1994;1;20067;20;1;1;2;;;2;;2;00000;;1;1;;;1;;19;1;4;;;1;;2940
01059;6;3;2013;1;3;2013;2;1;1;1;1;1989;2;01059;01;2;2;2;;;2;;2;00000;;6;1;48;4;2;;23;2;5;;;1;;2330
20045;13;12;2013;10;12;2013;2;1;1;1;1;1998;2;20045;20;1;1;2;;;2;;2;00000;;1;1;;;1;;15;1;4;;;1;;2920
48044;30;9;2013;25;9;2013;2;1;2;2;1;1977;1;48044;48;3;3;3;;;2;;2;00000;;6;1;114;9;2;;36;1;2;;;1;;2760
01059;26;6;2013;19;6;2013;2;1;1;1;1;1978;1;01059;01;4;4;2;;;2;;2;00000;;1;1;48;4;4;;35;1;5;;;1;;3950
48020;25;2;2013;9;2;2013;2;1;1;2;1;1990;2;48020;48;1;1;2;;;2;;2;00000;;1;1;;;1;;23;2;5;;;1;;2900
20069;4;4;2013;13;3;2013;2;1;2;1;1;1978;2;20069;20;3;3;3;;;2;;2;00000;;6;1;23;1;4;;34;2;4;;;1;;2355
01059;25;1;2013;16;1;2013;2;1;1;1;1;1990;2;01059;01;4;4;3;;;2;;2;00000;;1;1;25;2;4;;22;2;5;;;1;;3320
01059;16;9;2013;10;9;2013;2;1;1;1;1;1990;2;01059;01;1;1;2;;;2;;2;00000;;6;1;;;1;;23;1;3;;;1;;3080
48999;15;4;2013;25;3;2013;2;1;1;1;1;1979;1;48999;48;1;1;2;;;2;;2;00000;;6;1;;;1;;34;1;1;;;1;;3050
48020;8;2;2013;5;2;2013;2;1;1;1;1;1969;1;48020;48;1;1;2;;;2;;2;00000;;6;1;;;1;;43;2;2;;;1;;3190
48020;19;8;2013;14;8;2013;2;1;1;1;1;1972;1;48020;48;1;1;2;;;2;;2;00000;;6;1;;;1;;41;1;1;;;1;;3010
48020;21;1;2013;15;1;2013;2;1;1;1;1;1982;2;48020;48;1;1;2;;;2;;2;00000;;1;1;;;1;;30;2;5;;;1;;3100
20999;12;9;2013;5;9;2013;2;1;2;1;1;1973;1;20999;20;2;2;2;;;2;;2;00000;;1;1;;;1;;39;2;4;;;1;;2575
48020;11;3;2013;7;3;2013;2;1;1;1;1;1974;2;48020;48;1;1;2;;;2;;2;00000;;6;1;;;1;;38;2;4;;;1;;2840
01059;26;12;2013;19;12;2013;2;1;1;2;1;1989;1;01059;01;4;4;2;;;2;;2;00000;;1;1;26;2;4;;24;1;5;;;1;;2430
48020;24;5;2013;17;5;2013;2;1;1;1;2;1986;2;48020;48;1;1;2;;;2;;2;00000;;6;1;;;1;;27;1;4;;;1;;4000
48013;6;11;2013;31;10;2013;2;1;1;1;1;1983;2;48013;48;1;1;2;;;2;;2;00000;;1;1;;;1;;30;1;5;;;1;;3160
